estudante,curso,horas,habito,nota
Estudante_1,Economia,4.2,Vespera,53.9
Estudante_2,Economia,5.5,Vespera,72
Estudante_3,Ciencia de Dados,6.7,Misto,75.4
Estudante_4,Engenharia,10.1,Antecipado,77
Estudante_5,Computacao,3.5,Vespera,46.8
Estudante_6,Computacao,9.6,Vespera,84.8
Estudante_7,Engenharia,5.9,Vespera,72.5
Estudante_8,Ciencia de Dados,8.4,Antecipado,63.4
Estudante_9,Engenharia,7.9,Misto,70.5
Estudante_10,Engenharia,7.2,Misto,53.3
Estudante_11,Computacao,3,Misto,49.2
Estudante_12,Engenharia,4.8,Misto,62.1
Estudante_13,Economia,6.8,Antecipado,50.8
Estudante_14,Ciencia de Dados,3.1,Misto,62.2
Estudante_15,Computacao,3.8,Antecipado,73.8
Estudante_16,Economia,6.7,Antecipado,52.4
Estudante_17,Economia,7.3,Misto,55.7
Estudante_18,Ciencia de Dados,6.3,Misto,63
Estudante_19,Computacao,3.2,Misto,50.2
Estudante_20,Computacao,2.9,Antecipado,56.3
Estudante_21,Economia,10.7,Vespera,73.5
Estudante_22,Ciencia de Dados,5.7,Vespera,71.9
Estudante_23,Economia,5.2,Misto,65.7
Estudante_24,Economia,4.7,Misto,43
Estudante_25,Ciencia de Dados,2.8,Vespera,59.5
Estudante_26,Computacao,6.8,Antecipado,73.5
Estudante_27,Ciencia de Dados,4.5,Misto,69.5
Estudante_28,Economia,4.6,Antecipado,59.5
Estudante_29,Computacao,8,Misto,36.5
Estudante_30,Engenharia,7.5,Misto,63.8
Estudante_31,Engenharia,10,Antecipado,70.2
Estudante_32,Engenharia,3.9,Vespera,61.4
Estudante_33,Ciencia de Dados,6.9,Vespera,64.5
Estudante_34,Engenharia,10,Misto,68.8
Estudante_35,Ciencia de Dados,2.9,Antecipado,56.1
Estudante_36,Engenharia,3.3,Vespera,73.5
Estudante_37,Ciencia de Dados,2.8,Antecipado,64.7
Estudante_38,Ciencia de Dados,2.4,Antecipado,47.2
Estudante_39,Economia,5.2,Vespera,75.7
Estudante_40,Computacao,6.9,Misto,74.9
Estudante_41,Ciencia de Dados,9.1,Misto,72.3
Estudante_42,Computacao,8.4,Vespera,47.1
Estudante_43,Ciencia de Dados,3,Vespera,54.5
Estudante_44,Economia,12.6,Vespera,72
Estudante_45,Computacao,3.6,Antecipado,61.1
Estudante_46,Economia,5.3,Misto,65.4
Estudante_47,Economia,4,Antecipado,85.6
Estudante_48,Computacao,4.7,Misto,53.3
Estudante_49,Economia,5.5,Misto,40.9
Estudante_50,Computacao,5.3,Misto,64.6
Estudante_51,Ciencia de Dados,4.9,Misto,54.8
Estudante_52,Ciencia de Dados,5.3,Vespera,66.4
Estudante_53,Ciencia de Dados,3.9,Misto,52.8
Estudante_54,Engenharia,3.9,Antecipado,83
Estudante_55,Ciencia de Dados,2.2,Misto,58.2
Estudante_56,Engenharia,4.1,Misto,56.3
Estudante_57,Engenharia,3.9,Misto,59.3
Estudante_58,Ciencia de Dados,19.3,Antecipado,76.8
Estudante_59,Ciencia de Dados,2.5,Vespera,60.7
Estudante_60,Computacao,5.4,Misto,45.7
Estudante_61,Engenharia,2.4,Misto,59.6
Estudante_62,Economia,2.4,Vespera,67.3
Estudante_63,Engenharia,5.3,Antecipado,62.3
Estudante_64,Computacao,3,Antecipado,67.5
Estudante_65,Engenharia,5,Vespera,60.2
